name,address,location,price,cuisine,longitude,latitude,award,greenstar,country,city,is_global_hub,is_native,restaurant_density,star_level,recog_level,is_starred,award_level
Rasam,"18-19 Glasthule Road, Dun Laoghaire, A96 H2N1, Ireland","Dun Laoghaire, Ireland",2,Indian,-6.1231983,53.2870918,Selected Restaurants,0,Ireland,Dun Laoghaire,0,0,2,0,1,0,1
Tamarind,"20 Queen Street, Mayfair, London, W1J 5PR, United Kingdom","London, United Kingdom",3,Indian,-0.1471328,51.5070091,Selected Restaurants,0,United Kingdom,London,1,0,286,0,1,0,1
Dax,"23 Upper Pembroke Street, Dublin City, D02 AK20, Ireland","Dublin City, Ireland",3,Modern Cuisine,-6.2543774,53.3348301,Selected Restaurants,0,Ireland,Dublin City,0,0,42,0,1,0,1
Slice,"73-75 Eversley Road, Sketty, Swansea, SA2 9DE, United Kingdom","Swansea, United Kingdom",3,Modern British,-3.9844749,51.6183994,Selected Restaurants,0,United Kingdom,Swansea,0,1,1,0,1,0,1
Felin Fach Griffin,"Felin Fach, Brecon, LD3 0UB, United Kingdom","Brecon, United Kingdom",2,Modern British,-3.3241395,51.9899965,Selected Restaurants,0,United Kingdom,Brecon,0,1,0,0,1,0,1
Stravaigin,"28 Gibson Street, Glasgow City, G12 8NX, United Kingdom","Glasgow City, United Kingdom",2,International,-4.2825806,55.8725799,Selected Restaurants,0,United Kingdom,Glasgow City,0,0,12,0,1,0,1
HERA,"58 Dorset Street Lower, Dublin 1, Dublin City, D01 EP86, Ireland","Dublin City, Ireland",2,International,-6.2596676,53.3611083,Selected Restaurants,0,Ireland,Dublin City,0,0,41,0,1,0,1
LOMA by Graeme Cheevers,"Cameron House Hotel, Loch Lomond, Balloch, G83 8QZ, United Kingdom","Balloch, United Kingdom",4,Modern Cuisine,-4.6067642,56.0130875,Selected Restaurants,0,United Kingdom,Balloch,0,0,0,0,1,0,1
Bar Valette,"28–30 Kingsland Road, Shoreditch, London, E2 8AA, United Kingdom","London, United Kingdom",3,European,-0.0778614,51.527992,Selected Restaurants,0,United Kingdom,London,1,0,205,0,1,0,1
Flora,"Stableyard, Trelowarren Estate, Trelowarren, TR12 6AF, United Kingdom","Trelowarren, United Kingdom",3,Modern British,-5.18665,50.07154,Selected Restaurants,0,United Kingdom,Trelowarren,0,1,0,0,1,0,1
