name,address,location,price,cuisine,longitude,latitude,award,greenstar,country,city,is_global_hub,is_native,restaurant_density,star_level,recog_level,is_starred,award_level
ES:SENZ,"Mietenkamer Straße 65, Grassau, 83224, Germany","Grassau, Germany",4,"Creative, Modern Cuisine",12.4656176,47.7856302,3 Stars,0,Germany,Grassau,0,0,0,3,0,1,5
Tohru in der Schreiberei,"Burgstraße 5, Munich, 80331, Germany","Munich, Germany",4,"Modern Cuisine, Japanese Contemporary",11.577475,48.137597,3 Stars,0,Germany,Munich,0,0,61,3,0,1,5
Schwarzwaldstube,"Tonbachstraße 237, Baiersbronn, 72270, Germany","Baiersbronn, Germany",4,"Classic French, Creative",8.3582803,48.5369113,3 Stars,0,Germany,Baiersbronn,0,0,5,3,0,1,5
Victor's Fine Dining by christian bau,"Schlossstraße 27, Perl, 66706, Germany","Perl, Germany",4,"Creative, Contemporary",6.3872109,49.5351732,3 Stars,0,Germany,Perl,0,0,1,3,0,1,5
Aqua,"Parkstraße 1, Wolfsburg, 38440, Germany","Wolfsburg, Germany",4,"Creative, Modern Cuisine",10.7899785,52.4328494,3 Stars,0,Germany,Wolfsburg,0,0,2,3,0,1,5
schanz. restaurant.,"Bahnhofstraße 8a, Piesport, 54498, Germany","Piesport, Germany",4,"Modern French, Creative",6.9266002,49.8776003,3 Stars,0,Germany,Piesport,0,0,0,3,0,1,5
Restaurant Haerlin,"Neuer Jungfernstieg 9, Hamburg, 20354, Germany","Hamburg, Germany",4,"Creative French, Classic Cuisine",9.9914638,53.5554424,3 Stars,0,Germany,Hamburg,0,0,46,3,0,1,5
The Table Kevin Fehling,"Shanghaiallee 15, Hamburg, 20457, Germany","Hamburg, Germany",4,"Creative, International",10.0028597,53.5426398,3 Stars,0,Germany,Hamburg,0,0,42,3,0,1,5
Waldhotel Sonnora,"Auf'm Eichelfeld 1, Dreis, 54518, Germany","Dreis, Germany",4,Classic French,6.8109342,49.9377323,3 Stars,0,Germany,Dreis,0,0,0,3,0,1,5
JAN,"Luisenstraße 27, Munich, 80333, Germany","Munich, Germany",4,"Creative, Modern Cuisine",11.5629878,48.1447975,3 Stars,0,Germany,Munich,0,0,60,3,0,1,5
Restaurant Bareiss,"Hermine-Bareiss-Weg 1, Baiersbronn, 72270, Germany","Baiersbronn, Germany",4,"Classic French, Seasonal Cuisine",8.3268245,48.5201324,3 Stars,0,Germany,Baiersbronn,0,0,6,3,0,1,5
Rutz,"Chausseestraße 8, Berlin, 10115, Germany","Berlin, Germany",4,"Modern Cuisine, Creative",13.3860867,52.5283507,3 Stars,1,Germany,Berlin,0,0,52,3,0,1,5
Maaemo,"Dronning Eufemias gate 23, Oslo, 0194, Norway","Oslo, Norway",4,Creative,10.7586363,59.9075293,3 Stars,1,Norway,Oslo,0,0,28,3,0,1,5
RE-NAA,"Nordbøgata 8, Stavanger, 4006, Norway","Stavanger, Norway",4,"Creative, Seafood",5.7308447,58.9739705,3 Stars,0,Norway,Stavanger,0,0,7,3,0,1,5
Frantzen,"Klara Norra Kyrkogata 26, Stockholm, 111 22, Sweden","Stockholm, Sweden",4,Creative,18.0597575,59.3341673,3 Stars,0,Sweden,Stockholm,0,0,40,3,0,1,5
Jordnær,"Gentoftegade 29, Gentofte, 2820, Denmark","Gentofte, Denmark",4,Creative,12.5412347,55.7481416,3 Stars,0,Denmark,Gentofte,0,0,2,3,0,1,5
Geranium,"Per Henrik Lings Allé 4, Parken National Stadium, Copenhagen, 2100 Ø, Denmark","Copenhagen, Denmark",4,"Creative, Contemporary",12.5720951,55.703472,3 Stars,0,Denmark,Copenhagen,0,0,62,3,0,1,5
Hisa Franko,"Staro selo 1, Kobarid, 5222, Slovenia","Kobarid, Slovenia",4,"Creative, Regional Cuisine",13.5378132,46.247312,3 Stars,1,Slovenia,Kobarid,0,0,0,3,0,1,5
Tresind Studio,"St. Regis Gardens, The Palm Jumeirah, Dubai",Dubai,4,Indian,55.1391176,25.114932,3 Stars,0,Dubai,Dubai,1,0,34,3,0,1,5
Grande Etoile,"Bastionstraße 16, Düsseldorf, 40213, Germany","Düsseldorf, Germany",3,"Modern Cuisine, French",6.775079,51.221634,Selected Restaurants,0,Germany,Düsseldorf,0,0,24,0,1,0,1
Goldener Engel,"Bachenstraße 27, Ihringen, 79241, Germany","Ihringen, Germany",2,Regional Cuisine,7.6472096,48.0439756,Selected Restaurants,0,Germany,Ihringen,0,0,1,0,1,0,1
Chiemgauhof,"Julius-Exter-Promenade 21, Übersee, 83236, Germany","Übersee, Germany",3,"Farm to table, Regional Cuisine",12.4757464,47.8468221,Selected Restaurants,0,Germany,Übersee,0,0,1,0,1,0,1
Chefs Atelier,"Im Löwental 60A, Essen, 45239, Germany","Essen, Germany",4,"Creative, Seasonal Cuisine",6.9957349,51.3836464,1 Star,0,Germany,Essen,0,0,3,1,0,1,3
FZN by Bjorn Frantzen,"Atlantis The Palm Jumeirah, Crescent Road, Dubai",Dubai,4,Modern Cuisine,55.1182319,25.1320377,3 Stars,0,Dubai,Dubai,1,0,16,3,0,1,5
Boury,"Rumbeeksesteenweg 300, Roeselare, 8800, Belgium","Roeselare, Belgium",4,Creative French,3.1403981,50.9374466,3 Stars,0,Belgium,Roeselare,0,0,5,3,0,1,5
Zilte,"Hanzestedenplaats 5, Antwerpen, 2000, Belgium","Antwerpen, Belgium",4,Creative,4.4047543,51.228828,3 Stars,0,Belgium,Antwerpen,0,0,48,3,0,1,5
Le Louis XV - Alain Ducasse a l'Hotel de Paris,"Place du Casino, Monaco, 98000, Principality of Monaco","Monaco, Principality of Monaco",4,"Mediterranean Cuisine, Modern Cuisine",7.4271047,43.7391839,3 Stars,0,Principality of Monaco,Monaco,0,0,17,3,0,1,5
L'Ambroisie,"9 place des Vosges, Paris, 75004, France","Paris, France",4,Classic Cuisine,2.3645215,48.855494,3 Stars,0,France,Paris,1,1,388,3,0,1,5
Flocons de Sel,"1775 route du Leutaz, Le Leutaz, Megève, 74120, France","Megève, France",4,Modern Cuisine,6.5969625,45.8302404,3 Stars,0,France,Megève,0,0,11,3,0,1,5
Epicure,"Le Bristol, 112 rue du Faubourg-Saint-Honoré, Paris, 75008, France","Paris, France",4,Modern Cuisine,2.3145978,48.8717223,3 Stars,0,France,Paris,1,0,423,3,0,1,5
Arpege,"84 rue de Varenne, Paris, 75007, France","Paris, France",4,Creative,2.3170127,48.8557538,3 Stars,1,France,Paris,1,0,446,3,0,1,5
Le Pre Catelan,"Route de Suresnes - bois de Boulogne, Paris, 75016, France","Paris, France",4,"Creative, Contemporary",2.2507182,48.8639374,3 Stars,0,France,Paris,1,0,152,3,0,1,5
Le Cinq,"Four Seasons Hotel George V, 31 avenue George-V, Paris, 75008, France","Paris, France",4,Modern Cuisine,2.3008612,48.8687604,3 Stars,0,France,Paris,1,0,391,3,0,1,5
Le Petit Nice,"17 rue des Braves (Anse de Maldormé), Marseille, 13007, France","Marseille, France",4,Seafood,5.3520484,43.2802565,3 Stars,0,France,Marseille,0,0,26,3,0,1,5
Kei,"5 rue Coq-Héron, Paris, 75001, France","Paris, France",4,"Modern Cuisine, Creative",2.3422847,48.8643947,3 Stars,0,France,Paris,1,0,455,3,0,1,5
L'Oustau de Baumaniere,"500 route de Baumanière, Les Baux-de-Provence, 13520, France","Les Baux-de-Provence, France",4,Creative,4.7873628,43.7402659,3 Stars,1,France,Les Baux-de-Provence,0,0,6,3,0,1,5
Plenitude - Cheval Blanc Paris,"Cheval Blanc Paris, 8 quai du Louvre, Paris, 75001, France","Paris, France",4,Creative,2.3421588,48.8588148,3 Stars,0,France,Paris,1,0,456,3,0,1,5
AM par Alexandre Mazzia,"9 rue François-Rocca, Marseille, 13008, France","Marseille, France",4,Creative,5.3862325,43.2701104,3 Stars,0,France,Marseille,0,0,26,3,0,1,5
Pic,"285 avenue Victor-Hugo, Valence, 26000, France","Valence, France",4,Creative,4.8855601,44.9176875,3 Stars,0,France,Valence,0,0,7,3,0,1,5
Maison Lameloise,"36 place d'Armes, Chagny, 71150, France","Chagny, France",4,Modern Cuisine,4.7529917,46.9078385,3 Stars,0,France,Chagny,0,0,4,3,0,1,5
Le Coquillage,"Lieu-dit Le Buot, Saint-Méloir-des-Ondes, 35350, France","Saint-Méloir-des-Ondes, France",4,"Creative, Seafood",-1.8711232,48.6430654,3 Stars,1,France,Saint-Méloir-des-Ondes,0,0,6,3,0,1,5
Restaurant Marcon,"Larsiallas, 18 chemin de Brard, Saint-Bonnet-le-Froid, 43290, France","Saint-Bonnet-le-Froid, France",4,Creative,4.4342679,45.1386734,3 Stars,1,France,Saint-Bonnet-le-Froid,0,0,2,3,0,1,5
Pierre Gagnaire,"6 rue Balzac, Paris, 75008, France","Paris, France",4,Creative,2.3003493,48.8732731,3 Stars,0,France,Paris,1,0,382,3,0,1,5
La Vague d'Or - Cheval Blanc St-Tropez,"Plage de la Bouillabaisse, Saint-Tropez, 83990, France","Saint-Tropez, France",4,Creative,6.6261535,43.2665849,3 Stars,0,France,Saint-Tropez,0,0,12,3,0,1,5
Christopher Coutanceau,"Plage de la Concurrence, La Rochelle, 17000, France","La Rochelle, France",4,"Seafood, Modern Cuisine",-1.1599181,46.1553629,3 Stars,1,France,La Rochelle,0,0,10,3,0,1,5
Troisgros - Le Bois sans Feuilles,"728 route de Villerest, Ouches, 42155, France","Ouches, France",4,Creative,3.99236,46.01033,3 Stars,1,France,Ouches,0,0,3,3,0,1,5
La Marine,"3 rue Marie-Lemonnier, L'Herbaudière, 85330, France","L'Herbaudière, France",4,"Creative, Seafood",-2.2999341,47.0237104,3 Stars,1,France,L'Herbaudière,0,0,2,3,0,1,5
Le Clos des Sens,"13 rue Jean-Mermoz - à Annecy-le-Vieux, Annecy, 74940, France","Annecy, France",4,Creative,6.1445765,45.9176317,3 Stars,1,France,Annecy,0,0,22,3,0,1,5
La Villa Madie,"Avenue de Revestel, Cassis, 13260, France","Cassis, France",4,Creative,5.544944,43.2110889,3 Stars,0,France,Cassis,0,0,2,3,0,1,5
Assiette Champenoise,"40 avenue Paul-Vaillant-Couturier, à Tinqueux, Reims, 51430, France","Reims, France",4,"Creative, Modern Cuisine",4.0032666,49.2478347,3 Stars,0,France,Reims,0,0,11,3,0,1,5
Mirazur,"30 avenue Aristide-Briand, Menton, 06500, France","Menton, France",4,Creative,7.5280514,43.7859304,3 Stars,1,France,Menton,0,0,3,3,0,1,5
Les Pres d'Eugenie - Michel Guerard,"Place de l'Impératrice, Eugénie-les-Bains, 40320, France","Eugénie-les-Bains, France",4,Classic Cuisine,-0.3802543,43.6958026,3 Stars,0,France,Eugénie-les-Bains,0,1,2,3,0,1,5
Auberge du Vieux Puits,"5 avenue Saint-Victor, Fontjoncouse, 11360, France","Fontjoncouse, France",4,Creative,2.7893292,43.0481728,3 Stars,0,France,Fontjoncouse,0,0,0,3,0,1,5
Alleno Paris au Pavillon Ledoyen,"8 avenue Dutuit, Paris, 75008, France","Paris, France",4,Creative,2.3164993,48.8660932,3 Stars,0,France,Paris,1,0,439,3,0,1,5
Le 1947 a Cheval Blanc,"Cheval Blanc, Le Jardin Alpin, Courchevel 1850, Courchevel, 73120, France","Courchevel, France",4,Creative,6.6338696,45.4094877,3 Stars,0,France,Courchevel,0,0,14,3,0,1,5
HAJIME,"1-9-11 Edobori, Nishi-ku, Osaka, 550-0002, Japan","Osaka, Japan",4,Innovative,135.496084,34.688612,3 Stars,0,Japan,Osaka,0,0,244,3,0,1,5
Taian,"1-21-2 Shimanochi, Chuo-ku, Osaka, 542-0082, Japan","Osaka, Japan",3,Japanese,135.507205,34.673353,3 Stars,0,Japan,Osaka,0,1,244,3,0,1,5
Mizai,"613 Maruyamacho, Higashiyama-ku, Kyoto, 605-0071, Japan","Kyoto, Japan",4,Japanese,135.782364,35.002993,3 Stars,0,Japan,Kyoto,0,1,226,3,0,1,5
Gion Sasaki,"566-27 Komatsucho, Higashiyama-ku, Kyoto, 605-0811, Japan","Kyoto, Japan",4,Japanese,135.775049,34.998881,3 Stars,0,Japan,Kyoto,0,1,222,3,0,1,5
Isshisoden Nakamura,"136 Matsushitacho, Nakagyo-ku, Kyoto, 604-8093, Japan","Kyoto, Japan",4,Japanese,135.765083,35.010397,3 Stars,0,Japan,Kyoto,0,1,240,3,0,1,5
Kashiwaya Osaka Senriyama,"2-5-18 Senriyamanishi, Suita, Osaka, 565-0851, Japan","Osaka, Japan",3,Japanese,135.501289,34.770287,3 Stars,1,Japan,Osaka,0,1,2,3,0,1,5
Hyotei,"35 Nanzenji Kusagawacho, Sakyo-ku, Kyoto, 606-8437, Japan","Kyoto, Japan",4,Japanese,135.786742,35.011355,3 Stars,0,Japan,Kyoto,0,1,232,3,0,1,5
Kikunoi Honten,"459 Shimokawaracho, Higashiyama-ku, Kyoto, 605-0825, Japan","Kyoto, Japan",4,Japanese,135.782079,35.001535,3 Stars,0,Japan,Kyoto,0,1,225,3,0,1,5
Ta Vie,"2F, The Pottinger Hotel, 21 Stanley Street, Central, Hong Kong, Hong Kong SAR China","Hong Kong, Hong Kong SAR China",4,Innovative,114.15529,22.282766,3 Stars,0,Hong Kong SAR China,Hong Kong,1,0,186,3,0,1,5
Caprice,"6F, Four Seasons Hotel, 8 Finance Street, Central, Hong Kong, Hong Kong SAR China","Hong Kong, Hong Kong SAR China",4,French Contemporary,114.1566097,22.2866489,3 Stars,0,Hong Kong SAR China,Hong Kong,1,0,192,3,0,1,5
Robuchon au Dome,"43F, Grand Lisboa Hotel, Avenida de Lisboa, Macau, Macau",Macau,4,French Contemporary,113.54395,22.189949,3 Stars,0,Macau,Macau,0,0,37,3,0,1,5
T'ang Court,"1-2F, The Langham Hotel, 8 Peking Road, Tsim Sha Tsui, Hong Kong, Hong Kong SAR China","Hong Kong, Hong Kong SAR China",3,Cantonese,114.1698,22.296572,3 Stars,0,Hong Kong SAR China,Hong Kong,1,1,196,3,0,1,5
Sushi Shikon,"7F, The Landmark Mandarin Oriental, 15 Queen's Road Central, Central, Hong Kong, Hong Kong SAR China","Hong Kong, Hong Kong SAR China",4,Sushi,114.1577893,22.2806103,3 Stars,0,Hong Kong SAR China,Hong Kong,1,0,184,3,0,1,5
Jade Dragon,"2F, The Shops at the Boulevard, City of Dreams, Estrada do Istmo, Cotai, Macau",Macau,3,Cantonese,113.56715,22.149137,3 Stars,0,Macau,Macau,0,1,40,3,0,1,5
8 1/2 Otto e Mezzo - Bombana,"Shop 202, 2F, Alexandra House, 18 Chater Road, Central, Hong Kong, Hong Kong SAR China","Hong Kong, Hong Kong SAR China",4,Italian,114.15867,22.2814635,3 Stars,0,Hong Kong SAR China,Hong Kong,1,0,185,3,0,1,5
Forum,"1F, Sino Plaza, 255-257 Gloucester Road, Causeway Bay, Hong Kong, Hong Kong SAR China","Hong Kong, Hong Kong SAR China",4,Cantonese,114.1821905,22.2813972,3 Stars,0,Hong Kong SAR China,Hong Kong,1,1,186,3,0,1,5
Amber,"7F, The Landmark Mandarin Oriental, 15 Queen's Road Central, Central, Hong Kong, Hong Kong SAR China","Hong Kong, Hong Kong SAR China",4,French Contemporary,114.1577065,22.2805311,3 Stars,1,Hong Kong SAR China,Hong Kong,1,0,184,3,0,1,5
Mingles,"2F, 19 Dosan-daero 67-gil, Gangnam-gu, Seoul, 06016, South Korea","Seoul, South Korea",4,Korean,127.04426,37.52535,3 Stars,0,South Korea,Seoul,0,1,108,3,0,1,5
Steirereck im Stadtpark,"Am Heumarkt 2a, Vienna, 1030, Austria","Vienna, Austria",4,"Creative, Contemporary",16.3815669,48.2043967,3 Stars,0,Austria,Vienna,0,0,63,3,0,1,5
Amador,"Grinzinger Straße 86, Vienna, 1190, Austria","Vienna, Austria",4,"Creative, Contemporary",16.3587755,48.2539993,3 Stars,0,Austria,Vienna,0,0,25,3,0,1,5
ATAMA by Martin Stopp,"Ensheimer Straße 20, Sankt Ingbert, 66386, Germany","Sankt Ingbert, Germany",4,"Creative, Contemporary",7.11203,49.27289,2 Stars,0,Germany,Sankt Ingbert,0,0,2,2,0,1,4
IKIGAI,"Elmau 2, Krün, 82493, Germany","Krün, Germany",4,"Modern Cuisine, Asian Contemporary",11.186197,47.4621643,2 Stars,0,Germany,Krün,0,0,0,2,0,1,4
Ox & Klee,"Im Zollhafen 18, Cologne, 50678, Germany","Cologne, Germany",4,"Modern Cuisine, Creative",6.9658846,50.9272801,2 Stars,0,Germany,Cologne,0,0,26,2,0,1,4
Gotthardt's by Yannick Noack,"An der Fähre 3, Koblenz, 56068, Germany","Koblenz, Germany",4,"Modern Cuisine, Creative",7.5598451,50.3580498,2 Stars,0,Germany,Koblenz,0,0,2,2,0,1,4
OPUS V,"O5, 9-12, Mannheim, 68161, Germany","Mannheim, Germany",4,"Modern Cuisine, Creative",8.4697743,49.4857999,2 Stars,0,Germany,Mannheim,0,0,3,2,0,1,4
Ophelia,"Seestraße 25, Constance, 78464, Germany","Constance, Germany",4,"Creative French, International",9.187565,47.6673977,2 Stars,0,Germany,Constance,0,0,6,2,0,1,4
Tantris,"Johann-Fichte-Straße 7, Munich, 80805, Germany","Munich, Germany",4,"French Contemporary, Classic Cuisine",11.588259,48.1697565,2 Stars,0,Germany,Munich,0,0,58,2,0,1,4
Alois - Dallmayr Fine Dining,"Dienerstraße 14, Munich, 80331, Germany","Munich, Germany",4,"Creative, Modern Cuisine",11.5771585,48.1383054,2 Stars,0,Germany,Munich,0,0,61,2,0,1,4
sein,"Scheffelstraße 57, Karlsruhe, 76135, Germany","Karlsruhe, Germany",4,"Modern Cuisine, Creative",8.3818129,49.006215,2 Stars,0,Germany,Karlsruhe,0,0,6,2,0,1,4
Intense,"Weinstraße 31, Wachenheim an der Weinstraße, 67157, Germany","Wachenheim an der Weinstraße, Germany",4,"Fusion, Creative",8.1820048,49.4385482,2 Stars,0,Germany,Wachenheim an der Weinstraße,0,0,7,2,0,1,4
Jante,"Marienstraße 116, Hanover, 30171, Germany","Hanover, Germany",4,"Creative, Modern Cuisine",9.7607965,52.3702201,2 Stars,0,Germany,Hanover,0,0,6,2,0,1,4
Votum,"Hannah-Arendt-Platz 1, Hanover, 30159, Germany","Hanover, Germany",4,"Creative, Modern Cuisine",9.7354833,52.3700102,2 Stars,0,Germany,Hanover,0,0,6,2,0,1,4
100/200 Kitchen,"Brandshofer Deich 68, Hamburg, 20539, Germany","Hamburg, Germany",4,"Creative, Modern Cuisine",10.0285764,53.5374323,2 Stars,1,Germany,Hamburg,0,0,26,2,0,1,4
Le Cerf,"Kärcherstr. 11, Zweiflingen, 74639, Germany","Zweiflingen, Germany",4,Classic French,9.5258355,49.2436455,2 Stars,0,Germany,Zweiflingen,0,0,0,2,0,1,4
Hirschen,"Hauptstraße 69, Sulzburg, 79295, Germany","Sulzburg, Germany",4,"Creative, Seasonal Cuisine",7.7088806,47.8404612,2 Stars,0,Germany,Sulzburg,0,0,7,2,0,1,4
LOUIS restaurant,"Prälat-Subtil-Ring 22, Saarlouis, 66740, Germany","Saarlouis, Germany",4,"Modern French, Asian",6.7552911,49.3172819,2 Stars,0,Germany,Saarlouis,0,0,1,2,0,1,4
Oswald's Gourmetstube,"Am Platzl 2, Teisnach, 94244, Germany","Teisnach, Germany",4,"Modern French, Contemporary",13.0296421,49.0134357,2 Stars,0,Germany,Teisnach,0,0,0,2,0,1,4
Gourmetrestaurant Dichter,"Aribostraße 19, Rottach-Egern, 83700, Germany","Rottach-Egern, Germany",4,"Modern Cuisine, Creative French",11.7538484,47.6941309,2 Stars,0,Germany,Rottach-Egern,0,0,7,2,0,1,4
Le Pavillon,"Dollenberg 3, Bad Peterstal, 77740, Germany","Bad Peterstal, Germany",4,"Classic French, Seasonal Cuisine",8.2507048,48.4574092,2 Stars,0,Germany,Bad Peterstal,0,0,1,2,0,1,4
Osch Noir,"Golfplatz 1, Donaueschingen, 78166, Germany","Donaueschingen, Germany",4,"Modern Cuisine, Classic Cuisine",8.5471151,47.9655184,2 Stars,0,Germany,Donaueschingen,0,0,1,2,0,1,4
Coeur D'Artichaut,"Alter Fischmarkt 11A, Münster, 48143, Germany","Münster, Germany",4,"Modern French, Creative",7.6294251,51.9638925,2 Stars,0,Germany,Münster,0,0,4,2,0,1,4
Pietsch,"Breite Straße 53a, Wernigerode, 38855, Germany","Wernigerode, Germany",4,"Creative, Asian Contemporary",10.7890106,51.8352945,2 Stars,0,Germany,Wernigerode,0,0,1,2,0,1,4
PUR,"Hintereck 1, Berchtesgaden, 83471, Germany","Berchtesgaden, Germany",4,"Modern Cuisine, Contemporary",13.0468265,47.6340765,2 Stars,0,Germany,Berchtesgaden,0,0,5,2,0,1,4
AURA by Alexander Herrmann & Tobias Batz,"Marktplatz 11, Wirsberg, 95339, Germany","Wirsberg, Germany",4,"Creative, Modern Cuisine",11.6069241,50.1073707,2 Stars,1,Germany,Wirsberg,0,0,1,2,0,1,4
ammolite - The Lighthouse Restaurant,"Peter-Thumb-Straße 6, Rust, 77977, Germany","Rust, Germany",4,"Modern Cuisine, Classic French",7.7251226,48.259724,2 Stars,0,Germany,Rust,0,0,1,2,0,1,4
GasteHaus Klaus Erfort,"Mainzer Straße 95, Saarbrücken, 66121, Germany","Saarbrücken, Germany",4,Classic French,7.0076258,49.2295502,2 Stars,0,Germany,Saarbrücken,0,0,5,2,0,1,4
Esplanade,"Nauwieserstraße 5, Saarbrücken, 66111, Germany","Saarbrücken, Germany",4,"Classic Cuisine, Creative",6.9996028,49.2349097,2 Stars,0,Germany,Saarbrücken,0,0,5,2,0,1,4
Essigbratlein,"Weinmarkt 3, Nuremberg, 90403, Germany","Nuremberg, Germany",4,"Innovative, Farm to table",11.0748188,49.455062,2 Stars,1,Germany,Nuremberg,0,0,15,2,0,1,4
Lakeside,"Fontenay 10, Hamburg, 20354, Germany","Hamburg, Germany",4,Modern Cuisine,9.9980345,53.565225,2 Stars,0,Germany,Hamburg,0,0,46,2,0,1,4
Lafleur,"Palmengartenstraße 11, Frankfurt on the Main, 60325, Germany","Frankfurt on the Main, Germany",4,"Modern French, Creative",8.6565825,50.1214911,2 Stars,0,Germany,Frankfurt on the Main,0,0,23,2,0,1,4
Sol'ring Hof,"Am Sandwall 1, Rantum, 25980, Germany","Rantum, Germany",4,"Modern Cuisine, Creative",8.2887697,54.8536822,2 Stars,0,Germany,Rantum,0,0,1,2,0,1,4
Speisemeisterei,"Schloss Hohenheim 1B, Stuttgart, 70599, Germany","Stuttgart, Germany",4,"Creative, Innovative",9.2137792,48.712699,2 Stars,0,Germany,Stuttgart,0,0,2,2,0,1,4
Steinheuers Restaurant,"Landskroner Straße 110, Bad Neuenahr-Ahrweiler, 53474, Germany","Bad Neuenahr-Ahrweiler, Germany",4,"Classic French, Classic Cuisine",7.1642775,50.5509788,2 Stars,0,Germany,Bad Neuenahr-Ahrweiler,0,0,1,2,0,1,4
Obendorfers Eisvogel,"Hofenstetten 55, Neunburg vorm Wald, 92431, Germany","Neunburg vorm Wald, Germany",4,"Creative, Contemporary",12.261695,49.338408,2 Stars,0,Germany,Neunburg vorm Wald,0,0,1,2,0,1,4
Meierei Dirk Luther,"Uferstraße 1, Glücksburg, 24960, Germany","Glücksburg, Germany",4,Classic Cuisine,9.4999203,54.8225486,2 Stars,0,Germany,Glücksburg,0,0,5,2,0,1,4
CODA Dessert Dining,"Friedelstraße 47, Berlin, 12047, Germany","Berlin, Germany",4,"Creative, Innovative",13.4274391,52.4900681,2 Stars,0,Germany,Berlin,0,0,39,2,0,1,4
Tim Raue,"Rudi-Dutschke-Straße 26, Berlin, 10969, Germany","Berlin, Germany",4,"German, Asian Influences",13.3933841,52.5070342,2 Stars,0,Germany,Berlin,0,1,60,2,0,1,4
Vendome,"Kadettenstraße, Bergisch Gladbach, 51429, Germany","Bergisch Gladbach, Germany",4,"Creative, Classic French",7.1604778,50.9665691,2 Stars,0,Germany,Bergisch Gladbach,0,0,0,2,0,1,4
bianc,"Am Sandtorkai 50, Hamburg, 20457, Germany","Hamburg, Germany",4,"Mediterranean Cuisine, Creative",9.9943521,53.5430154,2 Stars,0,Germany,Hamburg,0,0,42,2,0,1,4
L.A. Jordan,"Ketschauerhofstraße 1, Deidesheim, 67146, Germany","Deidesheim, Germany",4,"Creative, Modern Cuisine",8.1850992,49.4076835,2 Stars,0,Germany,Deidesheim,0,0,7,2,0,1,4
Horvath,"Paul-Lincke-Ufer 44a, Berlin, 10999, Germany","Berlin, Germany",4,Creative,13.420793,52.4963922,2 Stars,1,Germany,Berlin,0,0,50,2,0,1,4
FACIL,"Potsdamer Straße 3, Berlin, 10785, Germany","Berlin, Germany",4,"Creative, Contemporary",13.3737404,52.5090625,2 Stars,0,Germany,Berlin,0,0,66,2,0,1,4
AUGUST,"Johannes-Haag-Straße 14, Augsburg, 86153, Germany","Augsburg, Germany",4,Creative,10.9126019,48.3710103,2 Stars,0,Germany,Augsburg,0,0,3,2,0,1,4
KOMU,"Hackenstraße 4, Munich, 80331, Germany","Munich, Germany",4,"Classic Cuisine, Modern Cuisine",11.5704952,48.1360691,2 Stars,0,Germany,Munich,0,0,61,2,0,1,4
Atelier,"Promenadeplatz 2, Munich, 80331, Germany","Munich, Germany",4,"Creative French, International",11.5735681,48.1402487,2 Stars,0,Germany,Munich,0,0,60,2,0,1,4
etz,"Wiesentalstraße 40, Nuremberg, 90419, Germany","Nuremberg, Germany",4,"Creative, Regional Cuisine",11.0537152,49.4575699,2 Stars,1,Germany,Nuremberg,0,0,15,2,0,1,4
PAZ,"Doktara Jakobsens gøta 14-16, Tórshavn, 100, Denmark","Tórshavn, Denmark",4,Creative,-6.775808,62.0101327,2 Stars,0,Denmark,Tórshavn,0,0,2,2,0,1,4
Alchemist,"Refshalevej 173C, Copenhagen, 1432 K, Denmark","Copenhagen, Denmark",4,Creative,12.6140984,55.6943425,2 Stars,1,Denmark,Copenhagen,0,0,56,2,0,1,4
a|o|c,"Dronningens Tværgade 2, Copenhagen, 1302 K, Denmark","Copenhagen, Denmark",4,Creative,12.5889875,55.6831927,2 Stars,0,Denmark,Copenhagen,0,0,60,2,0,1,4
Signum,"Hällsnäs Hotell, Långenäsvägen 150, Mölnlycke, 435 35, Sweden","Mölnlycke, Sweden",4,Creative,12.1786546,57.675447,2 Stars,1,Sweden,Mölnlycke,0,0,0,2,0,1,4
Koan,"Langeliniekaj 5, Copenhagen, 2100, Denmark","Copenhagen, Denmark",4,Creative,12.6001611,55.6954973,2 Stars,0,Denmark,Copenhagen,0,0,60,2,0,1,4
AIRA,"Biskopsvägen 9, Stockholm, 115 21, Sweden","Stockholm, Sweden",4,"Modern Cuisine, Swedish",18.1237288,59.3207155,2 Stars,0,Sweden,Stockholm,0,1,34,2,0,1,4
Frederikshøj,"Oddervej 19-21, Aarhus, 8000, Denmark","Aarhus, Denmark",4,Creative,10.2089264,56.124947,2 Stars,0,Denmark,Aarhus,0,0,8,2,0,1,4
Kadeau Copenhagen,"Wildersgade 10B, Copenhagen, 1408, Denmark","Copenhagen, Denmark",4,Creative,12.5888136,55.6722948,2 Stars,1,Denmark,Copenhagen,0,0,60,2,0,1,4
Kong Hans Kælder,"Vingaardsstraede 6, Copenhagen, 1070, Denmark","Copenhagen, Denmark",4,"Modern French, Seasonal Cuisine",12.5839958,55.6787423,2 Stars,0,Denmark,Copenhagen,0,0,60,2,0,1,4
Vollmers,"Tegelgårdsgatan 5, Malmo, 211 33, Sweden","Malmo, Sweden",4,Contemporary,12.9966201,55.6046461,2 Stars,0,Sweden,Malmo,0,0,10,2,0,1,4
Kontrast,"Maridalsveien 15, Oslo, 0175, Norway","Oslo, Norway",4,Scandinavian,10.7511251,59.922727,2 Stars,1,Norway,Oslo,0,1,28,2,0,1,4
